System:Cr-Mo
Last Edited: 2015-11-20
Format:--------------------------------------------------------------------------- 
DataId  DataType        y           yMod    sigy        Wt.     x        x1	x2      References	
                   
#************************START#									
20	H-A2-T-1          2071.1      0       103.6	1.0	0.1	1673	0	65-Kub
//21	MGX1-A2-T-1	0.469       0.04    0.09	1	1126	0.99	0	1965-Kubaschewski
//22	MGX1-A2-T-1	0.469       0.01    0.09        1	1168	0.99	0	1965-Kubaschewski
30      CXXB-L-RK-1-A2-T-1	0.2654    0.3054    0.01	1	2129	0.20	0	79-Koc-bcc/liq
31      CXXB-L-RK-1-A2-T-1	0.3415    0.3415    0.01	1	2181	0.30	0	79-Koc-bcc/liq
36	CXXB-A2-T-1-L-RK-1	0.0236      0.03    0.01	0.5	2166	0.01	0	54-Blo-liq/bcc
37	CXXB-A2-T-1-L-RK-1	0.0318      0.03    0.01	0.5	2166	0.01	0	54-Blo-liq/bcc
38	CXXB-A2-T-1-L-RK-1	0.0568      0.06    0.01	1	2138	0.01	0	51-Put-liq/bcc
//39	CXXB-A2-T-1-L-RK-1	0.0836      0.09    0.01	0.33	2135	0.01	0	54-Blo-liq/bcc
40	CXXB-A2-T-1-L-RK-1	0.0873      0.09    0.01	1	2135	0.01	0	51-Put-liq/bcc
//41	CXXB-A2-T-1-L-RK-1	0.0907      0.09    0.01	0.33	2135	0.01	0	54-Blo-liq/bcc
42	CXXA-L-RK-1-A2-T-1	0.1479      0.15    0.01	1	2138	0.99	0	51-Put-liq/bcc
43	CXXA-L-RK-1-A2-T-1	0.1628      0.17    0.01	1	2141	0.99	0	51-Put-liq/bcc
44	CXXA-L-RK-1-A2-T-1	0.1885      0.19    0.01	1	2146	0.99	0	54-Blo-liq/bcc
45      CXXA-L-RK-1-A2-T-1	0.2175      0.22    0.01	1	2159	0.99	0	51-Put-liq/bcc
46	CXXA-L-RK-1-A2-T-1	0.2654      0.27    0.01	1	2196	0.99	0	64-Sve-liq/bcc

47	CXTA-L-RK-1-A2-T-1	2296        2296    5   	1	0.3515	0.99	0	64-Sve-liq/bcc
48	CXTA-L-RK-1-A2-T-1	2409        2409    5   	1	0.4484	0.99	0	64-Sve-liq/bcc
49	CXTA-L-RK-1-A2-T-1	2507        2507    5   	1       0.5584  0.99	0	79-Koc-liq/bcc
50	CXTA-L-RK-1-A2-T-1	2618        2618    5   	1	0.6843	0.99	0	79-Koc-liq/bcc
51	CXTA-L-RK-1-A2-T-1	2789        2789    5   	1	0.8300	0.99	0	79-Koc-liq/bcc
